"sample","gene","log2_cpm","Pop","Vern","group","elevation"
"bhr02_i0","Sdiv_ptg000010l_2315-R",4.27597055924422,"bhr","i0","i0_bhr","low"
"bhr02_i1","Sdiv_ptg000010l_2315-R",4.54227073127774,"bhr","i1","i1_bhr","low"
"bhr02_i2","Sdiv_ptg000010l_2315-R",3.94457954245175,"bhr","i2","i2_bhr","low"
"bhr02_v0","Sdiv_ptg000010l_2315-R",3.50362051992322,"bhr","v0","v0_bhr","low"
"bhr02_v1","Sdiv_ptg000010l_2315-R",3.92932566908815,"bhr","v1","v1_bhr","low"
"bhr02_v2","Sdiv_ptg000010l_2315-R",3.60293872807348,"bhr","v2","v2_bhr","low"
"bhr06_i0","Sdiv_ptg000010l_2315-R",4.69394823288561,"bhr","i0","i0_bhr","low"
"bhr06_i1","Sdiv_ptg000010l_2315-R",4.91648741945057,"bhr","i1","i1_bhr","low"
"bhr06_i2","Sdiv_ptg000010l_2315-R",4.17804745400084,"bhr","i2","i2_bhr","low"
"bhr06_v0","Sdiv_ptg000010l_2315-R",4.13167723874089,"bhr","v0","v0_bhr","low"
"bhr06_v1","Sdiv_ptg000010l_2315-R",4.09106007939764,"bhr","v1","v1_bhr","low"
"bhr06_v2","Sdiv_ptg000010l_2315-R",2.88879204771744,"bhr","v2","v2_bhr","low"
"bhr08_i0","Sdiv_ptg000010l_2315-R",4.97097689757097,"bhr","i0","i0_bhr","low"
"bhr08_i1","Sdiv_ptg000010l_2315-R",4.88328651694983,"bhr","i1","i1_bhr","low"
"bhr08_i2","Sdiv_ptg000010l_2315-R",4.31837699229234,"bhr","i2","i2_bhr","low"
"bhr08_v0","Sdiv_ptg000010l_2315-R",3.642754670966,"bhr","v0","v0_bhr","low"
"bhr08_v1","Sdiv_ptg000010l_2315-R",3.76190987620484,"bhr","v1","v1_bhr","low"
"bhr08_v2","Sdiv_ptg000010l_2315-R",3.9675767049051,"bhr","v2","v2_bhr","low"
"bhr14_i0","Sdiv_ptg000010l_2315-R",4.51545135062957,"bhr","i0","i0_bhr","low"
"bhr14_i1","Sdiv_ptg000010l_2315-R",4.64670512334224,"bhr","i1","i1_bhr","low"
"bhr14_i2","Sdiv_ptg000010l_2315-R",4.65961812492818,"bhr","i2","i2_bhr","low"
"bhr14_v0","Sdiv_ptg000010l_2315-R",3.97538466514946,"bhr","v0","v0_bhr","low"
"bhr14_v1","Sdiv_ptg000010l_2315-R",4.2404270269126,"bhr","v1","v1_bhr","low"
"bhr14_v2","Sdiv_ptg000010l_2315-R",4.31600958411814,"bhr","v2","v2_bhr","low"
"bhr18_i0","Sdiv_ptg000010l_2315-R",5.15663312453049,"bhr","i0","i0_bhr","low"
"bhr18_i1","Sdiv_ptg000010l_2315-R",4.84328014734776,"bhr","i1","i1_bhr","low"
"bhr18_i2","Sdiv_ptg000010l_2315-R",4.64581609434539,"bhr","i2","i2_bhr","low"
"bhr18_v0","Sdiv_ptg000010l_2315-R",4.36179505427153,"bhr","v0","v0_bhr","low"
"bhr18_v1","Sdiv_ptg000010l_2315-R",4.75476068440552,"bhr","v1","v1_bhr","low"
"bhr18_v2","Sdiv_ptg000010l_2315-R",3.62970248260009,"bhr","v2","v2_bhr","low"
"ihl21_i0","Sdiv_ptg000010l_2315-R",4.75533776754735,"ihl","i0","i0_ihl","low"
"ihl21_i1","Sdiv_ptg000010l_2315-R",5.01358715163281,"ihl","i1","i1_ihl","low"
"ihl21_v0","Sdiv_ptg000010l_2315-R",3.82382350014131,"ihl","v0","v0_ihl","low"
"ihl21_v1","Sdiv_ptg000010l_2315-R",4.52694064703568,"ihl","v1","v1_ihl","low"
"ihl27_i0","Sdiv_ptg000010l_2315-R",4.74468393408958,"ihl","i0","i0_ihl","low"
"ihl27_i1","Sdiv_ptg000010l_2315-R",4.66914604954964,"ihl","i1","i1_ihl","low"
"ihl27_i2","Sdiv_ptg000010l_2315-R",2.57076807936807,"ihl","i2","i2_ihl","low"
"ihl27_v0","Sdiv_ptg000010l_2315-R",4.02831297142864,"ihl","v0","v0_ihl","low"
"ihl27_v1","Sdiv_ptg000010l_2315-R",4.72493039697508,"ihl","v1","v1_ihl","low"
"ihl27_v2","Sdiv_ptg000010l_2315-R",3.37602534923735,"ihl","v2","v2_ihl","low"
"ihl29_i0","Sdiv_ptg000010l_2315-R",4.49068689106027,"ihl","i0","i0_ihl","low"
"ihl29_i2","Sdiv_ptg000010l_2315-R",2.1158931841862,"ihl","i2","i2_ihl","low"
"ihl29_v0","Sdiv_ptg000010l_2315-R",3.65627597739044,"ihl","v0","v0_ihl","low"
"ihl29_v1","Sdiv_ptg000010l_2315-R",4.3688797400717,"ihl","v1","v1_ihl","low"
"ihl29_v2","Sdiv_ptg000010l_2315-R",1.74842794886458,"ihl","v2","v2_ihl","low"
"ihl30_i0","Sdiv_ptg000010l_2315-R",4.47985205884585,"ihl","i0","i0_ihl","low"
"ihl30_i1","Sdiv_ptg000010l_2315-R",4.35295046471973,"ihl","i1","i1_ihl","low"
"ihl30_i2","Sdiv_ptg000010l_2315-R",3.64649291019162,"ihl","i2","i2_ihl","low"
"ihl30_v0","Sdiv_ptg000010l_2315-R",3.6767591178608,"ihl","v0","v0_ihl","low"
"ihl30_v1","Sdiv_ptg000010l_2315-R",4.41948794285861,"ihl","v1","v1_ihl","low"
"ihl30_v2","Sdiv_ptg000010l_2315-R",2.14784527298773,"ihl","v2","v2_ihl","low"
"kc206_i0","Sdiv_ptg000010l_2315-R",4.42262756286224,"kc2","i0","i0_kc2",NA
"kc206_i1","Sdiv_ptg000010l_2315-R",5.20868328614974,"kc2","i1","i1_kc2",NA
"kc206_v0","Sdiv_ptg000010l_2315-R",3.38565344950346,"kc2","v0","v0_kc2",NA
"kc206_v1","Sdiv_ptg000010l_2315-R",4.19551191822192,"kc2","v1","v1_kc2",NA
"kc208_i0","Sdiv_ptg000010l_2315-R",4.38251226323751,"kc2","i0","i0_kc2",NA
"kc208_i1","Sdiv_ptg000010l_2315-R",4.40321181402984,"kc2","i1","i1_kc2",NA
"kc208_v0","Sdiv_ptg000010l_2315-R",3.17940987526202,"kc2","v0","v0_kc2",NA
"kc208_v1","Sdiv_ptg000010l_2315-R",3.90705500506553,"kc2","v1","v1_kc2",NA
"kc210_i0","Sdiv_ptg000010l_2315-R",4.24501316959136,"kc2","i0","i0_kc2",NA
"kc210_i1","Sdiv_ptg000010l_2315-R",4.71278475476709,"kc2","i1","i1_kc2",NA
"kc210_i2","Sdiv_ptg000010l_2315-R",3.99007949656951,"kc2","i2","i2_kc2",NA
"kc210_v0","Sdiv_ptg000010l_2315-R",4.20442225825916,"kc2","v0","v0_kc2",NA
"kc210_v1","Sdiv_ptg000010l_2315-R",4.82055964078396,"kc2","v1","v1_kc2",NA
"kc210_v2","Sdiv_ptg000010l_2315-R",3.44174884325084,"kc2","v2","v2_kc2",NA
"kc213_i0","Sdiv_ptg000010l_2315-R",5.09770678481801,"kc2","i0","i0_kc2",NA
"kc213_i1","Sdiv_ptg000010l_2315-R",4.26313878361413,"kc2","i1","i1_kc2",NA
"kc213_i2","Sdiv_ptg000010l_2315-R",3.89439325813184,"kc2","i2","i2_kc2",NA
"kc213_v0","Sdiv_ptg000010l_2315-R",4.32553024875717,"kc2","v0","v0_kc2",NA
"kc213_v2","Sdiv_ptg000010l_2315-R",3.9945538422422,"kc2","v2","v2_kc2",NA
"kc223_i0","Sdiv_ptg000010l_2315-R",3.84867522394515,"kc2","i0","i0_kc2",NA
"kc223_i1","Sdiv_ptg000010l_2315-R",4.36641332498817,"kc2","i1","i1_kc2",NA
"kc223_i2","Sdiv_ptg000010l_2315-R",3.62198385614954,"kc2","i2","i2_kc2",NA
"kc223_v0","Sdiv_ptg000010l_2315-R",3.46241241979554,"kc2","v0","v0_kc2",NA
"kc223_v1","Sdiv_ptg000010l_2315-R",4.80623207955583,"kc2","v1","v1_kc2",NA
"lv304_i0","Sdiv_ptg000010l_2315-R",5.15632706519413,"lv3","i0","i0_lv3",NA
"lv304_i1","Sdiv_ptg000010l_2315-R",5.11728141736584,"lv3","i1","i1_lv3",NA
"lv304_i2","Sdiv_ptg000010l_2315-R",-0.25939809720993,"lv3","i2","i2_lv3",NA
"lv304_v0","Sdiv_ptg000010l_2315-R",5.07024877791012,"lv3","v0","v0_lv3",NA
"lv304_v1","Sdiv_ptg000010l_2315-R",4.79316081411099,"lv3","v1","v1_lv3",NA
"lv304_v2","Sdiv_ptg000010l_2315-R",4.52163876670689,"lv3","v2","v2_lv3",NA
"lv308_i0","Sdiv_ptg000010l_2315-R",4.79735332973135,"lv3","i0","i0_lv3",NA
"lv308_i1","Sdiv_ptg000010l_2315-R",4.90388615094762,"lv3","i1","i1_lv3",NA
"lv308_v0","Sdiv_ptg000010l_2315-R",5.06326358637199,"lv3","v0","v0_lv3",NA
"lv308_v1","Sdiv_ptg000010l_2315-R",5.13730867087601,"lv3","v1","v1_lv3",NA
"lv315_i0","Sdiv_ptg000010l_2315-R",4.80960087706929,"lv3","i0","i0_lv3",NA
"lv315_i1","Sdiv_ptg000010l_2315-R",5.10883103390458,"lv3","i1","i1_lv3",NA
"lv315_v0","Sdiv_ptg000010l_2315-R",6.10135349182294,"lv3","v0","v0_lv3",NA
"lv315_v1","Sdiv_ptg000010l_2315-R",5.74682763130777,"lv3","v1","v1_lv3",NA
"lv316_i0","Sdiv_ptg000010l_2315-R",4.6560268015485,"lv3","i0","i0_lv3",NA
"lv316_i1","Sdiv_ptg000010l_2315-R",5.24010040920433,"lv3","i1","i1_lv3",NA
"lv316_i2","Sdiv_ptg000010l_2315-R",3.9288363899143,"lv3","i2","i2_lv3",NA
"lv316_v0","Sdiv_ptg000010l_2315-R",4.65097182160498,"lv3","v0","v0_lv3",NA
"lv316_v1","Sdiv_ptg000010l_2315-R",5.48621892221048,"lv3","v1","v1_lv3",NA
"lv316_v2","Sdiv_ptg000010l_2315-R",4.97792377431061,"lv3","v2","v2_lv3",NA
"lv323_i0","Sdiv_ptg000010l_2315-R",4.51534683005176,"lv3","i0","i0_lv3",NA
"lv323_i1","Sdiv_ptg000010l_2315-R",4.38397545480264,"lv3","i1","i1_lv3",NA
"lv323_i2","Sdiv_ptg000010l_2315-R",2.63625040712266,"lv3","i2","i2_lv3",NA
"lv323_v0","Sdiv_ptg000010l_2315-R",3.33923383198082,"lv3","v0","v0_lv3",NA
"lv323_v1","Sdiv_ptg000010l_2315-R",4.96234942891526,"lv3","v1","v1_lv3",NA
"lv323_v2","Sdiv_ptg000010l_2315-R",2.54952174531232,"lv3","v2","v2_lv3",NA
"sq306_i0","Sdiv_ptg000010l_2315-R",4.83481313827631,"sq3","i0","i0_sq3",NA
"sq306_i1","Sdiv_ptg000010l_2315-R",4.35902057207575,"sq3","i1","i1_sq3",NA
"sq306_i2","Sdiv_ptg000010l_2315-R",3.27206446403139,"sq3","i2","i2_sq3",NA
"sq306_v0","Sdiv_ptg000010l_2315-R",3.99793609983188,"sq3","v0","v0_sq3",NA
"sq306_v1","Sdiv_ptg000010l_2315-R",4.87396652802461,"sq3","v1","v1_sq3",NA
"sq306_v2","Sdiv_ptg000010l_2315-R",4.79862960966751,"sq3","v2","v2_sq3",NA
"sq308_i0","Sdiv_ptg000010l_2315-R",4.88660280756285,"sq3","i0","i0_sq3",NA
"sq308_i1","Sdiv_ptg000010l_2315-R",5.75592500240987,"sq3","i1","i1_sq3",NA
"sq308_i2","Sdiv_ptg000010l_2315-R",1.36630169613072,"sq3","i2","i2_sq3",NA
"sq308_v0","Sdiv_ptg000010l_2315-R",3.52839522462184,"sq3","v0","v0_sq3",NA
"sq308_v1","Sdiv_ptg000010l_2315-R",5.93786308547803,"sq3","v1","v1_sq3",NA
"sq308_v2","Sdiv_ptg000010l_2315-R",8.20973127761236,"sq3","v2","v2_sq3",NA
"sq311_i0","Sdiv_ptg000010l_2315-R",5.43192305238539,"sq3","i0","i0_sq3",NA
"sq311_i1","Sdiv_ptg000010l_2315-R",0.115538351387036,"sq3","i1","i1_sq3",NA
"sq311_i2","Sdiv_ptg000010l_2315-R",4.24358904099588,"sq3","i2","i2_sq3",NA
"sq311_v0","Sdiv_ptg000010l_2315-R",1.51858272432035,"sq3","v0","v0_sq3",NA
"sq311_v1","Sdiv_ptg000010l_2315-R",5.0797816390747,"sq3","v1","v1_sq3",NA
"sq311_v2","Sdiv_ptg000010l_2315-R",3.77407008507101,"sq3","v2","v2_sq3",NA
"sq314_i0","Sdiv_ptg000010l_2315-R",4.75310698130951,"sq3","i0","i0_sq3",NA
"sq314_i1","Sdiv_ptg000010l_2315-R",5.01055231547587,"sq3","i1","i1_sq3",NA
"sq314_i2","Sdiv_ptg000010l_2315-R",-0.379241414483428,"sq3","i2","i2_sq3",NA
"sq314_v1","Sdiv_ptg000010l_2315-R",-0.2448102453604,"sq3","v1","v1_sq3",NA
"sq314_v2","Sdiv_ptg000010l_2315-R",-0.988508285892163,"sq3","v2","v2_sq3",NA
"sq316_i0","Sdiv_ptg000010l_2315-R",3.6824840993105,"sq3","i0","i0_sq3",NA
"sq316_i1","Sdiv_ptg000010l_2315-R",5.0195189757996,"sq3","i1","i1_sq3",NA
"sq316_i2","Sdiv_ptg000010l_2315-R",-0.433328442873882,"sq3","i2","i2_sq3",NA
"sq316_v1","Sdiv_ptg000010l_2315-R",5.12100716472103,"sq3","v1","v1_sq3",NA
"sq316_v2","Sdiv_ptg000010l_2315-R",5.03208347400617,"sq3","v2","v2_sq3",NA
"tm201_i0","Sdiv_ptg000010l_2315-R",4.86490156692929,"tm2","i0","i0_tm2",NA
"tm201_i1","Sdiv_ptg000010l_2315-R",3.6349763646101,"tm2","i1","i1_tm2",NA
"tm201_v0","Sdiv_ptg000010l_2315-R",-0.579286198487717,"tm2","v0","v0_tm2",NA
"tm201_v1","Sdiv_ptg000010l_2315-R",2.33246341277128,"tm2","v1","v1_tm2",NA
"tm201_v2","Sdiv_ptg000010l_2315-R",0.772008164639847,"tm2","v2","v2_tm2",NA
"tm202_i0","Sdiv_ptg000010l_2315-R",4.60630084947946,"tm2","i0","i0_tm2",NA
"tm202_i1","Sdiv_ptg000010l_2315-R",4.09742021152211,"tm2","i1","i1_tm2",NA
"tm202_v0","Sdiv_ptg000010l_2315-R",4.04050333998891,"tm2","v0","v0_tm2",NA
"tm202_v1","Sdiv_ptg000010l_2315-R",4.19790944303334,"tm2","v1","v1_tm2",NA
"tm203_i0","Sdiv_ptg000010l_2315-R",4.3842610647828,"tm2","i0","i0_tm2",NA
"tm203_i1","Sdiv_ptg000010l_2315-R",5.28777075302162,"tm2","i1","i1_tm2",NA
"tm203_v0","Sdiv_ptg000010l_2315-R",3.32014341576443,"tm2","v0","v0_tm2",NA
"tm203_v1","Sdiv_ptg000010l_2315-R",4.5140516592759,"tm2","v1","v1_tm2",NA
"tm204_i0","Sdiv_ptg000010l_2315-R",5.09269458531116,"tm2","i0","i0_tm2",NA
"tm204_i1","Sdiv_ptg000010l_2315-R",3.97856828856883,"tm2","i1","i1_tm2",NA
"tm204_i2","Sdiv_ptg000010l_2315-R",2.04580682149578,"tm2","i2","i2_tm2",NA
"tm204_v0","Sdiv_ptg000010l_2315-R",3.58714446693897,"tm2","v0","v0_tm2",NA
"tm204_v1","Sdiv_ptg000010l_2315-R",3.11018870665789,"tm2","v1","v1_tm2",NA
"tm204_v2","Sdiv_ptg000010l_2315-R",1.75242605291613,"tm2","v2","v2_tm2",NA
"tm206_i0","Sdiv_ptg000010l_2315-R",3.72076647512862,"tm2","i0","i0_tm2",NA
"tm206_i1","Sdiv_ptg000010l_2315-R",2.4329772934499,"tm2","i1","i1_tm2",NA
"tm206_v0","Sdiv_ptg000010l_2315-R",3.29127853429884,"tm2","v0","v0_tm2",NA
"tm206_v1","Sdiv_ptg000010l_2315-R",2.67079113413168,"tm2","v1","v1_tm2",NA
"wl219_i0","Sdiv_ptg000010l_2315-R",3.73597935180526,"wl2","i0","i0_wl2",NA
"wl219_i1","Sdiv_ptg000010l_2315-R",4.84697684554526,"wl2","i1","i1_wl2",NA
"wl219_i2","Sdiv_ptg000010l_2315-R",-1.92934877141514,"wl2","i2","i2_wl2",NA
"wl219_v0","Sdiv_ptg000010l_2315-R",4.40445042422435,"wl2","v0","v0_wl2",NA
"wl219_v1","Sdiv_ptg000010l_2315-R",4.49148685244383,"wl2","v1","v1_wl2",NA
"wl219_v2","Sdiv_ptg000010l_2315-R",-1.7174428493688,"wl2","v2","v2_wl2",NA
"wl221_i0","Sdiv_ptg000010l_2315-R",5.38692354176718,"wl2","i0","i0_wl2",NA
"wl221_i1","Sdiv_ptg000010l_2315-R",5.21831848108763,"wl2","i1","i1_wl2",NA
"wl221_i2","Sdiv_ptg000010l_2315-R",3.58890483596825,"wl2","i2","i2_wl2",NA
"wl221_v0","Sdiv_ptg000010l_2315-R",4.11763709291176,"wl2","v0","v0_wl2",NA
"wl221_v1","Sdiv_ptg000010l_2315-R",4.80537574891223,"wl2","v1","v1_wl2",NA
"wl223_i0","Sdiv_ptg000010l_2315-R",4.36510542533094,"wl2","i0","i0_wl2",NA
"wl223_i1","Sdiv_ptg000010l_2315-R",4.32143077217383,"wl2","i1","i1_wl2",NA
"wl223_i2","Sdiv_ptg000010l_2315-R",-0.0551799258069295,"wl2","i2","i2_wl2",NA
"wl223_v0","Sdiv_ptg000010l_2315-R",4.34655461925769,"wl2","v0","v0_wl2",NA
"wl223_v1","Sdiv_ptg000010l_2315-R",4.16553351839548,"wl2","v1","v1_wl2",NA
"wl223_v2","Sdiv_ptg000010l_2315-R",1.02969594659325,"wl2","v2","v2_wl2",NA
"wl238_i0","Sdiv_ptg000010l_2315-R",4.14288597194957,"wl2","i0","i0_wl2",NA
"wl238_i1","Sdiv_ptg000010l_2315-R",4.61248745072651,"wl2","i1","i1_wl2",NA
"wl238_v0","Sdiv_ptg000010l_2315-R",3.60811011060452,"wl2","v0","v0_wl2",NA
"wl238_v1","Sdiv_ptg000010l_2315-R",4.37640270421728,"wl2","v1","v1_wl2",NA
"wl241_i0","Sdiv_ptg000010l_2315-R",4.25810938481847,"wl2","i0","i0_wl2",NA
"wl241_i1","Sdiv_ptg000010l_2315-R",4.18307756611445,"wl2","i1","i1_wl2",NA
"wl241_i2","Sdiv_ptg000010l_2315-R",-1.97205149200471,"wl2","i2","i2_wl2",NA
"wl241_v0","Sdiv_ptg000010l_2315-R",3.75673673551272,"wl2","v0","v0_wl2",NA
"wl241_v1","Sdiv_ptg000010l_2315-R",4.40862013850316,"wl2","v1","v1_wl2",NA
"wl241_v2","Sdiv_ptg000010l_2315-R",1.16112735499664,"wl2","v2","v2_wl2",NA
"yo119_i0","Sdiv_ptg000010l_2315-R",4.37966077792233,"yo1","i0","i0_yo1",NA
"yo119_i1","Sdiv_ptg000010l_2315-R",5.42196724950934,"yo1","i1","i1_yo1",NA
"yo119_i2","Sdiv_ptg000010l_2315-R",1.23408626983448,"yo1","i2","i2_yo1",NA
"yo119_v0","Sdiv_ptg000010l_2315-R",2.34201480653164,"yo1","v0","v0_yo1",NA
"yo119_v1","Sdiv_ptg000010l_2315-R",4.88220383314197,"yo1","v1","v1_yo1",NA
"yo119_v2","Sdiv_ptg000010l_2315-R",2.88046252564268,"yo1","v2","v2_yo1",NA
"yo120_i0","Sdiv_ptg000010l_2315-R",4.87911122047833,"yo1","i0","i0_yo1",NA
"yo120_i1","Sdiv_ptg000010l_2315-R",4.27590447206007,"yo1","i1","i1_yo1",NA
"yo120_v0","Sdiv_ptg000010l_2315-R",4.85917962150174,"yo1","v0","v0_yo1",NA
"yo120_v1","Sdiv_ptg000010l_2315-R",4.901116562647,"yo1","v1","v1_yo1",NA
"yo120_v2","Sdiv_ptg000010l_2315-R",2.73837646341241,"yo1","v2","v2_yo1",NA
"yo124_i0","Sdiv_ptg000010l_2315-R",4.67296561015962,"yo1","i0","i0_yo1",NA
"yo124_i2","Sdiv_ptg000010l_2315-R",3.71337826515149,"yo1","i2","i2_yo1",NA
"yo124_v0","Sdiv_ptg000010l_2315-R",3.51394242258866,"yo1","v0","v0_yo1",NA
"yo124_v1","Sdiv_ptg000010l_2315-R",5.16433673520932,"yo1","v1","v1_yo1",NA
"yo124_v2","Sdiv_ptg000010l_2315-R",3.48409104554855,"yo1","v2","v2_yo1",NA
"yo125_i0","Sdiv_ptg000010l_2315-R",5.53880156506682,"yo1","i0","i0_yo1",NA
"yo125_i2","Sdiv_ptg000010l_2315-R",-3.80372912821737,"yo1","i2","i2_yo1",NA
"yo125_v0","Sdiv_ptg000010l_2315-R",4.02061799993521,"yo1","v0","v0_yo1",NA
"yo125_v1","Sdiv_ptg000010l_2315-R",4.38799018442856,"yo1","v1","v1_yo1",NA
"yo125_v2","Sdiv_ptg000010l_2315-R",-0.0479060540750385,"yo1","v2","v2_yo1",NA
"yo150_i0","Sdiv_ptg000010l_2315-R",5.72837998738045,"yo1","i0","i0_yo1",NA
"yo150_i1","Sdiv_ptg000010l_2315-R",4.49010974764596,"yo1","i1","i1_yo1",NA
"yo150_i2","Sdiv_ptg000010l_2315-R",-2.92648310153906,"yo1","i2","i2_yo1",NA
"yo150_v0","Sdiv_ptg000010l_2315-R",3.00887231463873,"yo1","v0","v0_yo1",NA
"yo150_v1","Sdiv_ptg000010l_2315-R",4.49357528048494,"yo1","v1","v1_yo1",NA
"yo150_v2","Sdiv_ptg000010l_2315-R",3.33505661113367,"yo1","v2","v2_yo1",NA
